20230119	19:19:00	d2bcd1ef-04c9-49a6-9601-8fda58fad228	GET	undefined	/subdir/test
20230119	19:19:00	4d4caa23-7d7f-4222-971d-8a0a3a191445	GET	undefined	/subdir/css/style.css
20230119	19:19:05	3ffb23a2-5a2f-4863-a24f-d5faff853511	GET	undefined	/
20230119	19:19:05	b29bd988-1baa-4440-aeea-d22fa00ad176	GET	undefined	/css/style.css
20230119	19:20:47	ece10125-e419-4457-add1-5b3a3ec00317	GET	undefined	/
20230119	19:20:47	652a5132-e5f0-42d4-97f1-c75074ab7bf1	GET	undefined	/css/style.css
20230119	19:20:53	dbf90971-5b19-4dd9-aabf-45d285dfb257	GET	undefined	/subdir/
20230119	19:20:53	04032856-c886-425e-974b-b42f45314148	GET	undefined	/css/style.css
20230119	19:21:01	2c2cd7f5-8b84-4d70-b741-615590baa064	GET	undefined	/subdir/test
20230119	19:21:01	d6310197-5839-4e70-a608-2d2a7da65fcf	GET	undefined	/subdir/..css/style.css
20230119	19:23:52	f943fb93-d2b1-43ec-af49-0642a2886794	GET	undefined	/subdir/test
20230119	19:23:52	a5930bc1-9b39-4cc0-bdf9-3067e610fd71	GET	undefined	/subdir/css/style.css
20230119	22:12:53	3e5ec010-32c8-4094-8029-122fa5eee60f	GET	undefined	/subdir/test
20230119	22:12:53	2fceb8a3-58a8-4f0d-81c7-b9223c251472	GET	undefined	/subdir/css/style.css
20230119	22:12:57	a3e70519-40d3-4634-a3ac-42ca69d5c9a3	GET	undefined	/subdir/test
20230119	22:12:57	80f8db73-9d23-4392-bf36-71b5c49408c7	GET	undefined	/subdir/css/style.css
20230119	22:13:07	47f85a6a-fbc6-4cbf-b645-8f3c337199db	GET	undefined	/
20230119	22:13:07	d6618239-50c3-4c2c-bb15-fcd69a717340	GET	undefined	/css/style.css
20230119	22:13:10	c8fdcf26-880b-41c1-ad55-3a641726bc03	GET	undefined	/
20230119	22:13:10	8ce57fcb-1561-4112-8c4c-02147ed7b77c	GET	undefined	/css/style.css
20230119	22:13:55	6d105985-0325-4a69-9984-99b33be74fcf	GET	undefined	/
20230119	22:13:55	24a9c3af-bd61-4722-a66d-f7ce7c28774e	GET	undefined	/css/style.css
20230119	22:14:01	a998bdc7-8c74-4c7a-b1f5-de07b40035e3	GET	undefined	/hh
20230119	22:14:01	f179ce05-acc6-485d-8376-464b3c40af04	GET	undefined	/css/style.css
20230119	22:19:25	aa31166a-1c63-4c78-9edd-60138ba380ee	GET	undefined	/old-page
20230119	22:19:25	2783788d-4d07-4f29-a453-3c32a5e7a17d	GET	undefined	/new-page.html
